FID_,NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,TMPID,UPLOAD_ID,POINT_X,POINT_Y
,4070004200,101,새못사거리,0, ,korea,5, ,407,OEXT4070004200, ,127989.422200000000000,87521.038700000005000
,4080019000,101,성읍삼거리,0, ,korea,5, ,408,OEXT4080019000, ,180799.736200000010000,87813.357600000003000
,4070003900,101,월령삼거리,0, ,korea,5, ,407,OEXT4070003900, ,127085.767000000010000,87119.532000000007000
,4070003700,101,판포삼거리,0, ,korea,5, ,407,OEXT4070003700, ,125934.680200000000000,86298.790699999998000
,4070003600,101,망오름,0, ,korea,5, ,407,OEXT4070003600, ,130959.796200000000000,86255.142399999997000
,4080018000,101,삼달교차로,0, ,korea,5, ,408,OEXT4080018000, ,187794.005399999990000,86205.860000000001000
,4070003400,101,상명,0, ,korea,5, ,407,OEXT4070003400, ,131850.338200000000000,85398.340800000005000
,4070003200,101,두모삼거리,0, ,korea,5, ,407,OEXT4070003200, ,124334.756400000000000,85039.178300000000000
,4080017700,101,신풍교차로,0, ,korea,5, ,408,OEXT4080017700, ,187455.374600000010000,85567.200599999996000
,4080017600,101,가시리,0, ,korea,5, ,408,OEXT4080017600, ,178279.367999999990000,85346.234299999996000
,4070002800,101,월림,0, ,korea,5, ,407,OEXT4070002800, ,130717.062600000000000,84473.206900000005000
,4070002500,101,월림삼거리,0, ,korea,5, ,407,OEXT4070002500, ,130751.619100000000000,84344.857900000003000
,4070002100,101,신흥삼거리,0, ,korea,5, ,407,OEXT4070002100, ,123908.862500000000000,83598.357000000004000
,4080016400,101,하천교차로,0, ,korea,5, ,408,OEXT4080016400, ,185298.750800000010000,82620.168099999995000
,4080016100,101,광평교차로,0, ,korea,5, ,408,OEXT4080016100, ,139871.676299999990000,82126.849900000001000
,4080015900,101,금악,0, ,korea,5, ,408,OEXT4080015900, ,139946.794200000000000,82109.816699999996000
,4070001300,101,분재원입구,0, ,korea,5, ,407,OEXT4070001300, ,130450.540900000010000,81755.678899999999000
,4070001100,101,저청삼거리,0, ,korea,5, ,407,OEXT4070001100, ,130049.441900000010000,81346.909199999995000
