FID_,NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,TMPID,UPLOAD_ID,POINT_X,POINT_Y,x,y,X2,Y2
,4070006100,101,소길교차로,0,제주ITS참조,korea,5, ,407,OEXT4070006100, ,142672.629099999990000,90310.958100000003000,143,90,126° 23' 1.470"" E,33° 24' 17.138"" N
,4070004600,101,어음1교차로,0,제주ITS참조,korea,5, ,407,OEXT4070004600, ,141621.223300000010000,88219.976800000004000,142,88,126° 22' 21.271"" E,33° 23' 9.068"" N
,4070004100,101,어음2교차로,0,제주ITS참조,korea,5, ,407,OEXT4070004100, ,141385.858100000010000,87286.774600000004000,141,87,126° 22' 12.383"" E,33° 22' 38.733"" N
,4070005800,101,원동교차로,0,제주ITS참조,korea,5, ,407,OEXT4070005800, ,142082.486800000010000,89444.176099999997000,142,89,126° 22' 38.833"" E,33° 23' 48.891"" N
,4070002600,101,봉성교차로,0,제주ITS참조,korea,5, ,407,OEXT4070002600, ,140237.554999999990000,83900.086899999995000,140,84,126° 21' 28.768"" E,33° 20' 48.586"" N
,4080015100,101,동광1교차로,0,제주ITS참조,korea,5, ,408,OEXT4080015100, ,139611.812400000000000,81244.303100000005000,140,81,126° 21' 5.209"" E,33° 19' 22.263"" N
,4080014000,101,동광2교차로,0,제주ITS참조,korea,5, ,408,OEXT4080014000, ,139079.073999999990000,79992.838699999993000,139,80,126° 20' 44.916"" E,33° 18' 41.536"" N
,4080012600,101,동광램프(서귀포),0,제주ITS참조,korea,5, ,408,OEXT4080012600, ,139104.232699999990000,78674.974000000002000,139,79,126° 20' 46.208"" E,33° 17' 58.768"" N
,4080013900,101,동광검문소,0,제주ITS참조,korea,5, ,408,OEXT4080013900, ,138599.656800000000000,79846.732000000004000,139,80,126° 20' 26.419"" E,33° 18' 36.696"" N
,4070003500,101,금악초등교,0,제주ITS참조,korea,5, ,407,OEXT4070003500, ,134169.573500000000000,85626.910099999994000,134,86,126° 17' 33.659"" E,33° 21' 43.357"" N
,4070002200,101,저지리,0,제주ITS참조,korea,5, ,407,OEXT4070002200, ,136277.601700000000000,83793.348100000003000,136,84,126° 18' 55.659"" E,33° 20' 44.304"" N
,4070002000,101,이시돌목장,0,제주ITS참조,korea,5, ,407,OEXT4070002000, ,136940.881499999990000,83697.818899999998000,137,84,126° 19' 21.332"" E,33° 20' 41.344"" N
,4070007000,101,상대리,0,제주ITS참조,korea,5, ,407,OEXT4070007000, ,134565.704800000010000,91733.080199999997000,135,92,126° 17' 47.384"" E,33° 25' 1.625"" N
,4070008400,101,어도초등교,0,제주ITS참조,korea,5, ,407,OEXT4070008400, ,137165.583199999990000,93652.785600000003000,137,94,126° 19' 27.523"" E,33° 26' 4.490"" N
,4070009600,101,납읍리,0,제주ITS참조,korea,5, ,407,OEXT4070009600, ,138266.017200000000000,94807.436700000006000,138,95,126° 20' 9.836"" E,33° 26' 42.196"" N
,4070021100,101,김녕입구,0, ,korea,5, ,407,OEXT4070021100, ,175547.313599999990000,106870.834900000000000,176,107,126° 44' 12.053"" E,33° 33' 19.137"" N
,4070020600,101,김녕교차로,0, ,korea,5, ,407,OEXT4070020600, ,178583.382600000010000,106449.814600000000000,179,106,126° 46' 9.787"" E,33° 33' 5.707"" N
,4070020300,101,입수교차로,0, ,korea,5, ,407,OEXT4070020300, ,181024.502899999990000,106343.712400000000000,181,106,126° 47' 44.424"" E,33° 33' 2.429"" N
,4070020100,101,만장굴삼거리,0, ,korea,5, ,407,OEXT4070020100, ,179394.455699999990000,106197.944699999990000,179,106,126° 46' 41.249"" E,33° 32' 57.589"" N
,4070019900,103,북촌,0, ,korea,5, ,407,OEXT4070019900, ,171639.679100000010000,106057.659100000000000,172,106,126° 41' 40.662"" E,33° 32' 52.396"" N
,4070019800,103,북촌,0, ,korea,5, ,407,OEXT4070019800, ,171305.979400000010000,105931.813899999990000,171,106,126° 41' 27.742"" E,33° 32' 48.279"" N
,4070019600,101,행원교차로,0, ,korea,5, ,407,OEXT4070019600, ,181801.043899999990000,105832.375499999990000,182,106,126° 48' 14.564"" E,33° 32' 45.881"" N
,4070019500,101,북촌삼거리,0, ,korea,5, ,407,OEXT4070019500, ,170696.237900000010000,105603.470900000000000,171,106,126° 41' 4.146"" E,33° 32' 37.563"" N
,4070019400,101,한동교차로,0, ,korea,5, ,407,OEXT4070019400, ,183759.292699999990000,105164.598600000000000,184,105,126° 49' 30.513"" E,33° 32' 24.320"" N
,4070019300,101,함덕리,0, ,korea,5, ,407,OEXT4070019300, ,169795.689799999990000,104901.440200000000000,170,105,126° 40' 29.325"" E,33° 32' 14.686"" N
,4070018900,101,함덕입구,0, ,korea,5, ,407,OEXT4070018900, ,168309.705500000010000,104840.044500000000000,168,105,126° 39' 31.739"" E,33° 32' 12.539"" N
,4070018000,101,평대초교앞,0, ,korea,5, ,407,OEXT4070018000, ,185098.193499999990000,103954.000400000000000,185,104,126° 50' 22.481"" E,33° 31' 45.098"" N
,4070017600,101,갓머리삼거리,0, ,korea,5, ,407,OEXT4070017600, ,186191.395599999990000,103326.444500000000000,186,103,126° 51' 4.883"" E,33° 31' 24.782"" N
,4070017300,101,양천동,0, ,korea,5, ,407,OEXT4070017300, ,167083.016999999990000,102809.032700000000000,167,103,126° 38' 44.464"" E,33° 31' 6.485"" N
,4070017100,101,연수동삼거리,0, ,korea,5, ,407,OEXT4070017100, ,188326.589100000010000,102856.386000000000000,188,103,126° 52' 27.649"" E,33° 31' 9.616"" N
