FID_,LINK_ID,F_NODE,T_NODE,ROAD_USE,LANES,ROAD_RANK,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,ROAD_TYPE,ROAD_NO,TMPID,UPLOAD_ID,SOSFNODEID,SOSTNODEID,SHAPE_STLe
,4060068600,4060038200,4060035300,0,1.000000000000000,107,희망1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1975,TEMP1929,116.329996881000000
,4060068700,4060035300,4060038200,0,1.000000000000000,107,희망1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1929,TEMP1975,91.932935531499993
,4060068800,4060035600,4060038100,0,1.000000000000000,107,희망1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1927,TEMP1973,113.276740528000000
,4060068900,4060038100,4060035600,0,1.000000000000000,107,희망1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1973,TEMP1927,89.105683006999996
,4060069000,4060002400,4060031100,0,1.000000000000000,107,중추2로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-, , , ,TEMP1939,125.823952305000010
,4060069100,4060031100,4060002400,0,1.000000000000000,107,중추2로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-, , ,TEMP1939, ,146.041697502000010
,4060069200,4060029700,4060031200,0,1.000000000000000,107,여명1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1946,TEMP1940,156.161986751000000
,4060069300,4060031200,4060029700,0,1.000000000000000,107,여명1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1940,TEMP1946,180.231063670999990
,4060069400,4060031200,4060032300,0,1.000000000000000,107,여명1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1940,TEMP1943,87.932083358800000
,4060069500,4060032300,4060031200,0,1.000000000000000,107,여명1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1943,TEMP1940,112.448874756000000
,4060069600,4060035400,4060037900,0,1.000000000000000,107,태양1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1969,TEMP1971,96.230351141599996
,4060069700,4060037900,4060035400,0,1.000000000000000,107,태양1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1971,TEMP1969,120.528560141000000
,4060069800,4060037200,4060035100,0,1.000000000000000,107,태양1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1982,TEMP1967,55.464347585799999
,4060069900,4060035100,4060037200,0,1.000000000000000,107,태양1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1967,TEMP1982,80.199657436199999
,4060070000,4060030700,4060029700,0,1.000000000000000,107,여명1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-, , ,TEMP1953,TEMP1946,130.281366491000000
,4060070100,4060029700,4060030700,0,1.000000000000000,107,여명1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-, , ,TEMP1946,TEMP1953,154.904021290000000
,4060070200,4060032500,4060030700,0,1.000000000000000,107,여명1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-, , ,TEMP1947,TEMP1953,89.085155931399996
,4060070300,4060030700,4060032500,0,1.000000000000000,107,여명1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-, , ,TEMP1953,TEMP1947,113.517197155000010
,4060070400,4060001600,4060028400,0,2.000000000000000,107,태평로,0,000,60.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-, , , ,TEMP1949,67.286460666599993
,4060070500,4060028400,4060001600,0,2.000000000000000,107,태평로,0,000,60.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-, , ,TEMP1949, ,71.215895271700006
,4060079300,4060037100,4060033500,0,1.000000000000000,107,중추3로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1984,TEMP1955,90.766949502399996
,4060079400,4060033500,4060037100,0,1.000000000000000,107,중추3로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1955,TEMP1984,87.964930231799997
,4060079500,4060035000,4060037000,0,1.000000000000000,107,동광1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1966,TEMP1983,58.215162324700003
,4060079600,4060037000,4060035000,0,1.000000000000000,107,동광1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1983,TEMP1966,82.610639386800003
,4060079700,4060030500,4060032100,0,1.000000000000000,107,양지1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1958,TEMP1957,93.872527082199994
,4060079800,4060032100,4060030500,0,1.000000000000000,107,양지1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1957,TEMP1958,118.517176782000010
,4060079900,4060029600,4060030500,0,1.000000000000000,107,양지1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1960,TEMP1958,110.631292071000000
,4060080000,4060030500,4060029600,0,1.000000000000000,107,양지1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1958,TEMP1960,134.877997472999990
,4060080100,4060030900,4060029600,0,1.000000000000000,107,양지1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1961,TEMP1960,113.476195145999990
,4060080200,4060029600,4060030900,0,1.000000000000000,107,양지1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1960,TEMP1961,132.420459128000000
,4060080300,4060033300,4060002900,0,1.000000000000000,107,중추로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1965, ,96.992596776200003
,4060080400,4060002900,4060033300,0,1.000000000000000,107,중추로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, , ,TEMP1965,98.263906675499996
,4060080500,4060038100,4060040300,0,1.000000000000000,107,희망1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1973,TEMP1976,174.295359405999990
,4060080600,4060040300,4060038100,0,1.000000000000000,107,희망1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1976,TEMP1973,151.703548884000010
