"","FID_","LINK_ID","F_NODE","T_NODE","ROAD_USE","LANES","ROAD_RANK","ROAD_NAME","MULTI_LINK","CONNECT","MAX_SPD","REST_VEH","REST_W","REST_H","REMARK","USER_ID","WORKSTATE","DEPT_CODE","STNL_REG","ROAD_TYPE","ROAD_NO","TMPID","UPLOAD_ID","SOSFNODEID","SOSTNODEID","SHAPE_STLe"
"46",NA,4080189100,4080101700,4080101600,0,1,107,"-",0,0,50,0,32000,0,"제3송천교","",5,49000,408,3,"-","NTIC_0609","","TEMP438","TEMP437",54.7937939319
"47",NA,4080189200,4080101600,4080101700,0,1,107,"-",0,0,50,0,32000,0,"제3송천교","",5,49000,408,3,"-","NTIC_0609","","TEMP437","TEMP438",54.7938712194
"48",NA,4080189300,4080014601,4080014900,0,1,107,"-",0,0,50,0,0,0,"신규도로","",5,49000,408,0,"-","","","","",125.952611773
"49",NA,4080189400,4080014900,4080014601,0,1,107,"-",0,0,50,0,0,0,"신규도로","",5,49000,408,0,"-","","","","",125.952750446
"50",NA,4080189500,4080100300,4080100400,0,1,107,"-",0,0,30,0,43200,0,"갈마교","",5,49000,408,3,"-","NTIC_0609","","TEMP471","TEMP470",51.582027175
"51",NA,4080189600,4080100400,4080100300,0,1,107,"-",0,0,30,0,43200,0,"갈마교","",5,49000,408,3,"-","NTIC_0609","","TEMP470","TEMP471",51.5819327405
"52",NA,4070066700,4070036000,4070036200,0,1,107,"-",0,0,60,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP14","TEMP368",39.6640676646
"53",NA,4070066800,4070008007,4070038900,0,1,107,"-",0,0,60,0,0,0,"","",5,49000,407,0,"-","NTIC_0611_S","","","TEMP369",240.771314481
"54",NA,4070066900,4070038900,4070008007,0,1,107,"-",0,0,60,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP369","",240.771201438
"55",NA,4070067000,4070056500,4070056400,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP828","TEMP830",107.121996294
"56",NA,4070067100,4070056400,4070056500,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP830","TEMP828",107.122050792
"57",NA,4070067200,4070056700,4070056300,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP826","TEMP758",353.502572903
"58",NA,4070067300,4070056300,4070056700,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP758","TEMP826",353.502532564
"59",NA,4070067400,4070057300,4070018901,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP813","",474.806911262
"60",NA,4070067500,4070018901,4070057300,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0611_S","","","TEMP813",474.807328543
"61",NA,4070067600,4070057800,4070057900,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP814","TEMP819",89.7989252936
"62",NA,4070067700,4070057900,4070057800,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP819","TEMP814",89.7988776459
"63",NA,4070067800,4070048600,4070048700,0,1,107,"-",0,0,60,0,43200,0,"선흘교","",5,49000,407,3,"-","NTIC_0609","","TEMP602","TEMP601",25.1918522751
"64",NA,4070067900,4070048700,4070048600,0,1,107,"-",0,0,60,0,43200,0,"선흘교","",5,49000,407,3,"-","NTIC_0609","","TEMP601","TEMP602",25.1918522732
"65",NA,4070068000,4070057100,4070019300,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP808","",143.375020272
"66",NA,4070068100,4070019300,4070057100,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0611_S","","","TEMP808",143.374946217
