"","FID_","LINK_ID","F_NODE","T_NODE","ROAD_USE","LANES","ROAD_RANK","ROAD_NAME","MULTI_LINK","CONNECT","MAX_SPD","REST_VEH","REST_W","REST_H","REMARK","USER_ID","WORKSTATE","DEPT_CODE","STNL_REG","ROAD_TYPE","ROAD_NO","TMPID","UPLOAD_ID","SOSFNODEID","SOSTNODEID","SHAPE_STLe"
"47",NA,2.01588131225248e-314,2.0158380321019e-314,2.01583808150847e-314,0,1,107,"-",0,0,50,0,32000,0,"제3송천교","",5,49000,408,3,"-","NTIC_0609","","TEMP437","TEMP438",54.7938712194
"48",NA,2.01588136165904e-314,2.01579504888478e-314,2.01579519661041e-314,0,1,107,"-",0,0,50,0,0,0,"신규도로","",5,49000,408,0,"-","","","","",125.952611773
"49",NA,2.01588141106561e-314,2.01579519661041e-314,2.01579504888478e-314,0,1,107,"-",0,0,50,0,0,0,"신규도로","",5,49000,408,0,"-","","","","",125.952750446
"50",NA,2.01588146047217e-314,2.01583738981656e-314,2.01583743922313e-314,0,1,107,"-",0,0,30,0,43200,0,"갈마교","",5,49000,408,3,"-","NTIC_0609","","TEMP471","TEMP470",51.582027175
"51",NA,2.01588150987874e-314,2.01583743922313e-314,2.01583738981656e-314,0,1,107,"-",0,0,30,0,43200,0,"갈마교","",5,49000,408,3,"-","NTIC_0609","","TEMP470","TEMP471",51.5819327405
"52",NA,2.01088013275245e-314,2.01086496493712e-314,2.01086506375025e-314,0,1,107,"-",0,0,60,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP14","TEMP368",39.6640676646
"53",NA,2.01088018215902e-314,2.0108511345575e-314,2.0108663977275e-314,0,1,107,"-",0,0,60,0,0,0,"","",5,49000,407,0,"-","NTIC_0611_S","","","TEMP369",240.771314481
"54",NA,2.01088023156558e-314,2.0108663977275e-314,2.0108511345575e-314,0,1,107,"-",0,0,60,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP369","",240.771201438
"55",NA,2.01088028097214e-314,2.01087509328286e-314,2.0108750438763e-314,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP828","TEMP830",107.121996294
"56",NA,2.01088033037871e-314,2.0108750438763e-314,2.01087509328286e-314,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP830","TEMP828",107.122050792
"57",NA,2.01088037978527e-314,2.01087519209599e-314,2.01087499446973e-314,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP826","TEMP758",353.502572903
"58",NA,2.01088042919184e-314,2.01087499446973e-314,2.01087519209599e-314,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP758","TEMP826",353.502532564
"59",NA,2.0108804785984e-314,2.01087548853538e-314,2.01085651690865e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP813","",474.806911262
"60",NA,2.01088052800497e-314,2.01085651690865e-314,2.01087548853538e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0611_S","","","TEMP813",474.807328543
"61",NA,2.01088057741153e-314,2.0108757355682e-314,2.01087578497477e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP814","TEMP819",89.7989252936
"62",NA,2.0108806268181e-314,2.01087578497477e-314,2.0108757355682e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP819","TEMP814",89.7988776459
"63",NA,2.01088067622466e-314,2.01087119016426e-314,2.01087123957083e-314,0,1,107,"-",0,0,60,0,43200,0,"선흘교","",5,49000,407,3,"-","NTIC_0609","","TEMP602","TEMP601",25.1918522751
"64",NA,2.01088072563123e-314,2.01087123957083e-314,2.01087119016426e-314,0,1,107,"-",0,0,60,0,43200,0,"선흘교","",5,49000,407,3,"-","NTIC_0609","","TEMP601","TEMP602",25.1918522732
"65",NA,2.01088077503779e-314,2.01087538972225e-314,2.01085671404084e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP808","",143.375020272
"66",NA,2.01088082444436e-314,2.01085671404084e-314,2.01087538972225e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0611_S","","","TEMP808",143.374946217
"67",NA,2.01088087385092e-314,2.01087534031569e-314,2.01087538972225e-314,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP809","TEMP808",111.94785452
"68",NA,2.01088092325748e-314,2.01087538972225e-314,2.01087534031569e-314,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP808","TEMP809",111.947652474
"69",NA,2.01088097266405e-314,2.01087608141416e-314,2.01087618022728e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP820","TEMP815",119.288995755
"70",NA,2.01088102207061e-314,2.01087618022728e-314,2.01087608141416e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP815","TEMP820",119.289193924
"71",NA,2.01088107147718e-314,2.01087603200759e-314,2.01087608141416e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP817","TEMP820",50.8026082559
"72",NA,2.01088112088374e-314,2.01087608141416e-314,2.01087603200759e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP820","TEMP817",50.8027100381
"73",NA,2.01088117029031e-314,2.01087613082072e-314,2.01087603200759e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP816","TEMP817",162.460955362
"74",NA,2.01088121969687e-314,2.01087603200759e-314,2.01087613082072e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP817","TEMP816",162.461055362
"75",NA,2.01088126910344e-314,2.01087568616164e-314,2.01087563675507e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP56","TEMP806",174.689785153
"76",NA,2.01088131851e-314,2.01087128897739e-314,2.01085399667979e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP611","",66.7718546277
"77",NA,2.01088136791657e-314,2.01085399667979e-314,2.01087128897739e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0611_S","","","TEMP611",66.7718641264
"78",NA,2.01088141732313e-314,2.01086442146491e-314,2.0108511849522e-314,0,1,107,"-",0,0,50,0,0,0,"신규도로","",5,49000,407,0,"-","NTIC_0609","","TEMP13","",363.613615256
"79",NA,2.01581772600386e-314,2.01584025539731e-314,2.01579791397146e-314,0,1,106,"지방도1119호선",0,0,60,0,0,0,"","",5,49000,408,0,"1119","NTIC_0609","","TEMP92","",296.101104626
"80",NA,2.01581777541042e-314,2.01579791397146e-314,2.01584025539731e-314,0,1,106,"지방도1119호선",0,0,60,0,0,0,"","",5,49000,408,0,"1119","NTIC_0611_S","","","TEMP92",296.101016325
"81",NA,2.01585581846515e-314,2.01579801278459e-314,2.01584025539731e-314,0,1,106,"지방도1119호선",0,0,60,0,0,0,"","",5,49000,408,0,"1119","NTIC_0611_S","","","TEMP92",68.2652272115
"82",NA,2.01585586787172e-314,2.01584025539731e-314,2.01579801278459e-314,0,1,106,"지방도1119호선",0,0,60,0,0,0,"","",5,49000,408,0,"1119","NTIC_0609","","TEMP92","",68.2650036205
"83",NA,2.01585591727828e-314,2.01584025539731e-314,2.015840403617e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP92","TEMP89",41.373675597
"84",NA,2.01585596668485e-314,2.015840403617e-314,2.01584025539731e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP89","TEMP92",41.3735426405
"85",NA,2.01585601609141e-314,2.015840403617e-314,2.01584045302357e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP89","TEMP87",34.7952774824
